areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E06000014,York,utla,2021-12-24,37
E06000050,Cheshire West and Chester,utla,2021-12-24,33
E08000001,Bolton,utla,2021-12-24,46
E08000016,Barnsley,utla,2021-12-24,12
E08000031,Wolverhampton,utla,2021-12-24,36
E08000032,Bradford,utla,2021-12-24,85
E09000018,Hounslow,utla,2021-12-24,99
E09000032,Wandsworth,utla,2021-12-24,94
E09000033,Westminster,utla,2021-12-24,64
E10000034,Worcestershire,utla,2021-12-24,53
S12000013,Na h-Eileanan Siar,utla,2021-12-24,4
S12000029,South Lanarkshire,utla,2021-12-24,6
S12000045,East Dunbartonshire,utla,2021-12-24,5
E06000003,Redcar and Cleveland,utla,2021-12-23,29
E06000014,York,utla,2021-12-23,139
E06000050,Cheshire West and Chester,utla,2021-12-23,127
E08000001,Bolton,utla,2021-12-23,142
E08000016,Barnsley,utla,2021-12-23,82
E08000031,Wolverhampton,utla,2021-12-23,117
E08000032,Bradford,utla,2021-12-23,257
E09000018,Hounslow,utla,2021-12-23,219
E09000032,Wandsworth,utla,2021-12-23,168
E09000033,Westminster,utla,2021-12-23,185
E10000034,Worcestershire,utla,2021-12-23,224
S12000013,Na h-Eileanan Siar,utla,2021-12-23,9
S12000029,South Lanarkshire,utla,2021-12-23,34
S12000045,East Dunbartonshire,utla,2021-12-23,10
E06000003,Redcar and Cleveland,utla,2021-12-22,46
E06000014,York,utla,2021-12-22,194
E06000050,Cheshire West and Chester,utla,2021-12-22,124
E08000001,Bolton,utla,2021-12-22,177
E08000016,Barnsley,utla,2021-12-22,111
E08000031,Wolverhampton,utla,2021-12-22,169
E08000032,Bradford,utla,2021-12-22,313
E09000018,Hounslow,utla,2021-12-22,188
E09000032,Wandsworth,utla,2021-12-22,175
E09000033,Westminster,utla,2021-12-22,353
E10000034,Worcestershire,utla,2021-12-22,250
S12000013,Na h-Eileanan Siar,utla,2021-12-22,7
S12000029,South Lanarkshire,utla,2021-12-22,55
S12000045,East Dunbartonshire,utla,2021-12-22,22
E06000003,Redcar and Cleveland,utla,2021-12-21,26
E06000014,York,utla,2021-12-21,144
E06000050,Cheshire West and Chester,utla,2021-12-21,193
E08000001,Bolton,utla,2021-12-21,132
E08000016,Barnsley,utla,2021-12-21,105
E08000031,Wolverhampton,utla,2021-12-21,175
E08000032,Bradford,utla,2021-12-21,358
E09000018,Hounslow,utla,2021-12-21,270
E09000032,Wandsworth,utla,2021-12-21,218
E09000033,Westminster,utla,2021-12-21,236
E10000034,Worcestershire,utla,2021-12-21,322
S12000013,Na h-Eileanan Siar,utla,2021-12-21,9
S12000029,South Lanarkshire,utla,2021-12-21,36
S12000045,East Dunbartonshire,utla,2021-12-21,14
E06000003,Redcar and Cleveland,utla,2021-12-20,100
E06000014,York,utla,2021-12-20,195
E06000050,Cheshire West and Chester,utla,2021-12-20,189
E08000001,Bolton,utla,2021-12-20,173
E08000016,Barnsley,utla,2021-12-20,63
E08000031,Wolverhampton,utla,2021-12-20,160
E08000032,Bradford,utla,2021-12-20,290
E09000018,Hounslow,utla,2021-12-20,202
E09000032,Wandsworth,utla,2021-12-20,264
E09000033,Westminster,utla,2021-12-20,225
E10000034,Worcestershire,utla,2021-12-20,380
S12000013,Na h-Eileanan Siar,utla,2021-12-20,5
S12000029,South Lanarkshire,utla,2021-12-20,10
S12000045,East Dunbartonshire,utla,2021-12-20,9
E06000003,Redcar and Cleveland,utla,2021-12-19,37
E06000014,York,utla,2021-12-19,186
E06000050,Cheshire West and Chester,utla,2021-12-19,100
E08000001,Bolton,utla,2021-12-19,118
E08000016,Barnsley,utla,2021-12-19,100
E08000031,Wolverhampton,utla,2021-12-19,136
E08000032,Bradford,utla,2021-12-19,328
E09000018,Hounslow,utla,2021-12-19,323
E09000032,Wandsworth,utla,2021-12-19,173
E09000033,Westminster,utla,2021-12-19,210
E10000034,Worcestershire,utla,2021-12-19,174
S12000013,Na h-Eileanan Siar,utla,2021-12-19,7
S12000029,South Lanarkshire,utla,2021-12-19,140
S12000045,East Dunbartonshire,utla,2021-12-19,67
